User undefined came online, timestamp: 1302890423755
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890432567
User undefined went offline, timestamp: 1302890434714
User undefined came online, timestamp: 1302890439230
User undefined came online, timestamp: 1302890941811
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890946019
action: colored, x: 31, y: 267, layer: 20, timestamp: 1302890952589
action: colored, x: 30, y: 267, layer: 20, timestamp: 1302890952605
action: colored, x: 53, y: 295, layer: 20, timestamp: 1302890952954
action: colored, x: 54, y: 295, layer: 20, timestamp: 1302890952970
action: colored, x: 55, y: 295, layer: 20, timestamp: 1302890953103
action: colored, x: 61, y: 295, layer: 20, timestamp: 1302890953119
action: colored, x: 69, y: 295, layer: 20, timestamp: 1302890953136
action: colored, x: 81, y: 295, layer: 20, timestamp: 1302890953153
action: colored, x: 91, y: 296, layer: 20, timestamp: 1302890953169
action: colored, x: 99, y: 296, layer: 20, timestamp: 1302890953186
action: colored, x: 105, y: 297, layer: 20, timestamp: 1302890953203
action: colored, x: 109, y: 297, layer: 20, timestamp: 1302890953219
action: colored, x: 112, y: 297, layer: 20, timestamp: 1302890953237
action: colored, x: 114, y: 297, layer: 20, timestamp: 1302890953253
action: colored, x: 116, y: 297, layer: 20, timestamp: 1302890953269
action: colored, x: 117, y: 297, layer: 20, timestamp: 1302890953286
action: colored, x: 118, y: 297, layer: 20, timestamp: 1302890953335
action: colored, x: 119, y: 297, layer: 20, timestamp: 1302890953352
action: colored, x: 121, y: 297, layer: 20, timestamp: 1302890953369
action: colored, x: 122, y: 298, layer: 20, timestamp: 1302890953385
action: colored, x: 123, y: 298, layer: 20, timestamp: 1302890953671
action: colored, x: 129, y: 298, layer: 20, timestamp: 1302890953685
action: colored, x: 139, y: 300, layer: 20, timestamp: 1302890953701
action: colored, x: 159, y: 303, layer: 20, timestamp: 1302890953718
action: colored, x: 180, y: 305, layer: 20, timestamp: 1302890953736
action: colored, x: 197, y: 306, layer: 20, timestamp: 1302890953751
action: colored, x: 219, y: 307, layer: 20, timestamp: 1302890953767
action: colored, x: 236, y: 309, layer: 20, timestamp: 1302890953784
action: colored, x: 250, y: 311, layer: 20, timestamp: 1302890953801
action: colored, x: 257, y: 313, layer: 20, timestamp: 1302890953817
action: colored, x: 265, y: 315, layer: 20, timestamp: 1302890953834
action: colored, x: 271, y: 317, layer: 20, timestamp: 1302890953851
action: colored, x: 275, y: 319, layer: 20, timestamp: 1302890953867
action: colored, x: 282, y: 319, layer: 20, timestamp: 1302890953885
action: colored, x: 286, y: 319, layer: 20, timestamp: 1302890953900
